step,rewards/train/score/mean
0,0.25
1,1.0
2,0.25
3,-0.5
4,-2.5
5,3.5
6,0.25
7,1.0
8,-1.5
9,1.0
10,-1.5
11,1.0
12,-0.25
13,-0.25
14,1.0
15,1.0
16,0.5
17,-1.5
18,-1.0
19,-2.5
20,0.25
21,1.0
22,1.0
23,0.25
24,-0.5
25,0.5
26,1.0
27,0.25
28,1.0
29,0.25
30,3.5
31,-0.25
32,0.25
33,-0.5
34,1.0
35,-1.5
36,1.0
37,-0.75
38,-1.0
39,-0.5
40,0.5
41,1.0
42,-1.0
43,0.25
44,1.0
45,0.0
46,1.0
47,5.5
48,0.25
49,-0.5
50,1.0
51,0.25
52,1.0
53,1.0
54,1.0
55,1.0
56,-0.5
57,-0.5
58,1.0
59,0.75
60,0.25
61,-0.5
62,-1.5
63,-0.75
64,1.0
65,-0.5
66,1.0
67,-1.0
68,-1.5
69,1.0
70,3.5
71,1.0
72,1.5
73,-2.5
74,-1.5
75,1.0
76,2.75
77,-0.5
78,1.0
79,-0.5
80,-0.5
81,0.25
82,0.0
83,7.25
84,-0.5
85,0.25
86,1.0
87,1.0
88,0.0
89,1.0
90,1.5
91,1.0
92,-0.5
93,-1.5
94,-2.5
95,1.0
96,1.0
97,0.0
98,1.0
99,-1.5
100,3.5
101,0.25
102,1.0
103,-0.5
104,0.25
105,2.625
106,1.0
107,1.0
108,0.25
109,1.0
110,1.0
111,1.0
112,-0.75
113,1.0
114,1.0
115,-0.75
116,-0.5
117,-1.5
118,1.0
119,-1.5
120,-1.5
121,-1.0
122,-1.5
123,6.5
124,-0.25
125,-1.0
126,0.5
127,1.0
128,-1.5
129,-2.0
130,-0.5
131,3.5
132,0.25
133,-0.5
134,1.0
135,1.0
136,3.5
137,1.0
138,1.0
139,-0.5
140,4.5
141,3.5
142,-0.25
143,0.25
144,-0.5
145,2.875
146,4.25
147,1.0
148,0.5
149,1.0
150,9.0
151,-0.25
152,6.25
153,-1.5
154,1.5
155,3.25
156,3.5
157,10.0
158,9.0
159,5.0
160,0.5
161,9.0
162,-1.0
163,4.5
164,5.5
165,4.5
166,0.25
167,0.25
168,1.5
169,3.5
170,3.5
171,9.0
172,3.5
173,3.5
174,6.25
175,1.0
176,3.5
177,1.625
178,6.25
179,3.5
180,-1.5
181,2.0
182,3.5
183,9.0
184,7.25
185,6.25
186,6.5
187,3.75
188,10.0
189,-2.5
190,4.75
191,2.25
192,1.5
193,2.0
194,3.0
195,3.5
196,1.0
197,5.5
198,9.0
199,9.0
200,10.0
201,2.0
202,9.0
203,5.75
204,9.0
205,1.0
206,-0.5
207,0.25
208,3.5
209,1.0
210,2.0
211,9.0
212,3.0
213,6.25
214,3.75
215,1.5
216,3.25
217,-0.75
218,5.75
219,10.0
220,10.0
221,4.5
222,1.5
223,-0.5
224,2.5
225,4.5
226,10.0
227,4.5
228,4.75
229,4.75
230,7.25
231,10.0
232,10.0
233,-1.0
234,5.75
235,4.5
236,10.0
237,3.125
238,7.25
239,2.5
240,4.5
241,3.0
242,10.0
243,7.25
244,4.5
245,4.5
246,7.25
247,2.0
248,4.5
249,4.5
250,7.25
251,2.0
252,1.0
253,7.25
254,10.0
255,7.25
256,7.25
257,7.25
258,1.25
259,1.0
260,10.0
261,4.5
262,-0.5
263,6.0
264,2.0
265,5.25
266,6.0
267,4.5
268,7.25
269,6.5
270,10.0
271,4.5
272,1.5
273,7.25
274,3.0
275,1.5
276,7.25
277,6.0
278,2.0
279,4.5
280,10.0
281,10.0
282,10.0
283,5.125
284,4.5
285,4.5
286,4.5
287,2.5
288,10.0
289,8.0
290,10.0
291,7.25
292,4.5
293,10.0
294,8.0
295,1.0
296,4.5
297,3.0
298,2.0
299,4.5
300,2.5
301,10.0
302,2.5
303,7.25
304,3.125
305,7.25
306,7.25
307,7.25
308,2.0
309,2.25
310,10.0
311,5.75
312,10.0
313,2.0
314,6.5
315,10.0
316,4.5
317,10.0
318,4.5
319,6.5
320,0.0
321,10.0
322,7.25
323,2.5
324,2.625
325,10.0
326,4.5
327,6.0
328,7.25
329,7.25
330,7.25
331,5.25
332,5.0
333,5.25
334,0.5
335,4.5
336,8.75
337,10.0
338,-0.5
339,4.75
340,10.0
341,10.0
342,2.0
343,6.5
344,4.375
345,10.0
346,10.0
347,5.125
348,5.25
349,3.0
350,6.5
351,10.0
352,-0.5
353,0.0
354,4.5
355,10.0
356,4.5
357,5.25
358,0.0
359,10.0
360,7.5
361,10.0
362,6.5
363,5.25
364,5.25
365,10.0
366,10.0
367,5.25
368,0.5
369,0.0
370,5.25
371,8.0
372,4.5
373,10.0
374,0.5
375,7.25
376,7.5
377,10.0
378,10.0
379,4.5
380,4.5
381,10.0
382,4.0
383,5.0
384,4.5
385,10.0
386,2.5
387,10.0
388,6.5
389,2.5
390,6.0
391,5.75
392,3.75
393,0.0
394,5.25
395,2.0
396,4.75
397,10.0
398,6.0
399,4.5
400,5.25
401,0.5
402,4.5
403,10.0
404,4.5
405,10.0
406,7.25
407,2.0
408,1.0
409,7.25
410,5.25
411,4.5
412,4.5
413,2.5
414,4.5
415,2.0
416,10.0
417,10.0
418,10.0
419,5.0
420,7.25
421,10.0
422,4.5
423,8.0
424,2.0
425,10.0
426,2.25
427,2.0
428,4.5
429,4.5
430,10.0
431,10.0
432,10.0
433,4.5
434,10.0
435,7.25
436,7.25
437,4.5
438,7.25
439,2.0
440,10.0
441,4.5
442,10.0
443,8.75
444,10.0
445,10.0
446,10.0
447,10.0
448,7.25
449,7.25
450,10.0
451,10.0
452,7.25
453,4.5
454,10.0
455,10.0
456,2.0
457,6.5
458,10.0
459,7.25
460,10.0
461,4.5
462,10.0
463,10.0
464,4.5
465,5.375
466,4.5
467,10.0
468,2.0
469,2.0
470,5.125
471,6.5
472,4.5
