step,reward_mean,kl,mean_length,eval_reward_mean,eval_mean_length
0,0.25,,113.0,0.23677147239263804,238.28527607361963
1,1.0,-0.0007692016079090536,82.0,,
2,-0.5,0.002333780750632286,150.0,,
3,-0.5,0.006637293845415115,149.0,,
4,0.25,-4.141762838116847e-05,198.0,,
5,6.25,0.00030054227681830525,145.0,,
6,0.5,0.005120823625475168,235.5,,
7,0.5,-0.004535484593361616,118.0,,
8,-1.5,-0.002997099421918392,23.0,,
9,1.0,0.03302856162190437,166.5,,
10,-1.5,0.0015919544966891408,477.0,,
11,1.0,-8.878367953002453e-05,107.0,,
12,0.25,0.012490076944231987,246.0,,
13,1.0,0.0026329709216952324,133.0,,
14,1.0,-0.0011395690962672234,73.0,,
15,0.25,0.000618320656940341,265.0,,
16,0.5,0.005230842623859644,181.0,,
17,-1.5,-0.000908498652279377,542.0,,
18,0.25,0.0006951916147954762,197.0,,
19,-2.0,0.007151492405682802,768.0,,
20,1.0,0.00014227628707885742,152.5,,
21,1.0,0.003758402308449149,200.0,,
22,1.0,-0.0008776856120675802,135.0,,
23,-0.5,0.0012313277693465352,167.5,,
24,-0.25,-0.004375395365059376,102.0,,
25,-0.75,0.013820172287523746,67.0,,
26,1.0,0.004145266488194466,124.0,,
27,1.0,0.0031838573049753904,157.0,,
28,0.5,-0.0003101931943092495,215.0,,
29,0.25,-0.000953062204644084,414.5,,
30,3.5,-0.0021172903943806887,209.5,,
31,-0.75,0.002571005839854479,101.5,,
32,0.25,0.007125722710043192,125.5,,
33,-0.5,-0.0006267045973800123,307.5,,
34,3.5,-0.0014124553417786956,202.5,,
35,-1.5,-0.00046271810424514115,497.5,,
36,1.0,-7.811503564880695e-06,145.5,,
37,0.0,-0.0007345586200244725,80.5,,
38,-0.5,0.008880805224180222,93.0,,
39,-1.5,-0.006282365415245295,466.5,,
40,0.5,-0.0035829085391014814,123.0,,
41,1.0,0.0031205001287162304,279.5,,
42,-1.0,0.00330154225230217,133.5,,
43,0.25,-0.0010838741436600685,131.0,,
44,-0.25,0.008936482481658459,96.0,,
45,0.0,0.0037651758175343275,181.5,,
46,1.0,-0.012279621325433254,232.0,,
47,-0.75,-0.0012281351955607533,269.0,,
48,1.0,0.0006889569922350347,88.5,,
49,-0.5,0.00033698647166602314,202.0,,
50,1.0,0.0025981771759688854,175.5,,
51,-1.0,-0.0073446291498839855,93.0,,
