step,reward_mean,kl,mean_length,eval_reward_mean,eval_mean_length
0,-0.25,,98.875,0.305899053812027,228.12132263183594
1,1.0,0.0011961704585701227,85.75,,
2,-0.4375,-0.0008239079033955932,191.625,,
3,-0.625,2.5965075110434555e-05,128.375,,
4,0.0,-3.9354154068860225e-06,227.25,,
5,4.0625,0.0007303288439288735,116.375,,
6,-0.5,-0.0006279479712247849,237.0,,
7,1.0,-0.002129963366314769,135.375,,
8,-0.875,0.0018323633121326566,111.625,,
9,0.4375,-0.006820642855018377,167.0,,
10,-1.0,-0.001027972437441349,411.5,,
11,0.625,0.001025460078381002,84.0,,
12,-0.125,-0.004893186502158642,197.75,,
13,1.0,0.00019681258709169924,100.0,,
14,0.75,0.006266360636800528,72.0,,
15,0.1875,-0.006870845798403025,318.125,,
16,0.875,-0.001684939838014543,208.875,,
17,-1.625,0.0009396470850333571,492.375,,
18,0.0,-0.00045401774696074426,169.625,,
19,-1.0,0.001602580538019538,691.5,,
20,1.0,0.0016913556028157473,185.625,,
21,1.0,-0.0016627097502350807,206.75,,
22,1.0,0.0008699090103618801,132.375,,
23,-0.25,0.00130449328571558,156.875,,
24,0.0,-0.0032869104761630297,141.25,,
25,0.125,-0.0011373435845598578,76.25,,
26,1.0,-0.003944672178477049,117.625,,
27,0.875,-0.0017917604418471456,154.75,,
28,0.625,-0.0012202132493257523,119.375,,
29,0.0,0.0044248951599001884,405.25,,
30,3.5625,0.0003251882444601506,267.625,,
31,0.25,-0.0009099005837924778,110.25,,
32,0.8125,0.006004774942994118,121.25,,
33,-0.8125,0.001946215401403606,382.25,,
34,2.25,0.0008626511553302407,185.125,,
35,-0.5,-0.003967334050685167,221.375,,
36,0.5,0.0010978261707350612,151.5,,
37,0.5,0.009489636868238449,98.0,,
38,0.25,0.004726084414869547,593.125,,
39,-1.0,-0.0008973454241640866,321.375,,
40,0.0,0.000538666092325002,214.375,,
41,1.0,0.0010408296948298812,177.0,,
42,-0.125,-0.0023202113807201385,133.5,,
43,1.5625,0.01357861328870058,154.375,,
44,0.6875,0.006885573733597994,170.375,,
45,-1.0,0.003235581098124385,319.25,,
46,0.8125,-0.0019445897778496146,220.375,,
47,-0.75,-0.0017958212411031127,309.625,,
48,2.3125,0.00042007796582765877,160.75,,
49,-0.375,0.005561124067753553,235.5,,
50,-0.25,0.0016177535289898515,244.125,,
51,1.25,-8.722042548470199e-05,136.0,,
52,1.0,0.0031535557936877012,134.125,,
53,0.5,0.0018461038125678897,110.5,,
54,0.6875,0.005863071419298649,199.625,,
55,1.0,-0.0007195899961516261,185.75,,
56,-0.1875,-0.0004966871929354966,169.375,,
57,-0.5,0.0015109283849596977,208.25,,
58,0.125,-0.0024022897705435753,419.625,,
59,0.625,0.0028365454636514187,151.625,,
60,-0.3125,8.066999725997448e-05,92.75,,
61,0.5,0.00015771870675962418,162.375,,
62,-0.5,0.010981209576129913,214.375,,
63,-0.3125,0.0007493278244510293,254.625,,
64,1.0,0.008697956800460815,160.0,0.8440842032432556,237.71925354003906
65,1.625,-0.0034013136755675077,414.125,,
66,0.625,-0.00044443929800763726,207.625,,
67,4.3125,0.012318003922700882,190.75,,
68,-0.75,-0.002413032343611121,306.0,,
69,3.4375,0.0001280822034459561,239.75,,
70,2.6875,0.001998354448005557,268.375,,
71,9.0,0.0014223516918718815,168.875,,
72,5.375,0.0015874167438596487,148.75,,
73,-1.0,0.010747182182967663,299.75,,
